Subject,Course Code,Course Title,Description,Prerequisites,Offered,Keywords
Apparel Merchandising Design,AMD181,Introduction to Apparel Merchandising Design Management,This course covers introduction to apparel merchandising design management with emphasis on practical and theoretical aspects.,AMD172 - Fundamentals of Apparel Merchandising Design Design,"Fall, Summer, Spring","Apparel Merchandising Design, Introduction, to, Apparel, Merchandising, Design, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD172 - Fundamentals of Apparel Merchandising Design Design"
Apparel Merchandising Design,AMD190,Principles of Apparel Merchandising Design Design,This course covers principles of apparel merchandising design design with emphasis on practical and theoretical aspects.,AMD181 - Introduction to Apparel Merchandising Design Management,"Summer, Fall, Spring","Apparel Merchandising Design, Principles, of, Apparel, Merchandising, Design, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD181 - Introduction to Apparel Merchandising Design Management"
Apparel Merchandising Design,AMD199,Principles of Apparel Merchandising Design Applications,This course covers principles of apparel merchandising design applications with emphasis on practical and theoretical aspects.,AMD190 - Principles of Apparel Merchandising Design Design,"Summer, Spring","Apparel Merchandising Design, Principles, of, Apparel, Merchandising, Design, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: AMD190 - Principles of Apparel Merchandising Design Design"
Art,A100,Fundamentals of Art Practice,This course covers fundamentals of art practice with emphasis on practical and theoretical aspects.,None,"Fall, Summer, Spring","Art, Fundamentals, of, Art, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Art,A109,Principles of Art Systems,This course covers principles of art systems with emphasis on practical and theoretical aspects.,A100 - Fundamentals of Art Practice,Summer,"Art, Principles, of, Art, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A100 - Fundamentals of Art Practice"
Art,A118,Principles of Art Development,This course covers principles of art development with emphasis on practical and theoretical aspects.,A109 - Principles of Art Systems,Spring,"Art, Principles, of, Art, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A109 - Principles of Art Systems"
Art,A127,Introduction to Art Management,This course covers introduction to art management with emphasis on practical and theoretical aspects.,A118 - Principles of Art Development,"Summer, Spring, Fall","Art, Introduction, to, Art, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A118 - Principles of Art Development"
Art,A136,Introduction to Art Development,This course covers introduction to art development with emphasis on practical and theoretical aspects.,A127 - Introduction to Art Management,"Summer, Spring","Art, Introduction, to, Art, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A127 - Introduction to Art Management"
Art,A145,Introduction to Art Development,This course covers introduction to art development with emphasis on practical and theoretical aspects.,A136 - Introduction to Art Development,"Fall, Summer, Spring","Art, Introduction, to, Art, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A136 - Introduction to Art Development"
Art,A154,Fundamentals of Art Systems,This course covers fundamentals of art systems with emphasis on practical and theoretical aspects.,A145 - Introduction to Art Development,"Summer, Spring, Fall","Art, Fundamentals, of, Art, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A145 - Introduction to Art Development"
Art,A163,Principles of Art Analysis,This course covers principles of art analysis with emphasis on practical and theoretical aspects.,A154 - Fundamentals of Art Systems,"Spring, Fall, Summer","Art, Principles, of, Art, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A154 - Fundamentals of Art Systems"
Art,A172,Introduction to Art Applications,This course covers introduction to art applications with emphasis on practical and theoretical aspects.,A163 - Principles of Art Analysis,"Fall, Summer","Art, Introduction, to, Art, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A163 - Principles of Art Analysis"
Art,A181,Fundamentals of Art Analysis,This course covers fundamentals of art analysis with emphasis on practical and theoretical aspects.,A172 - Introduction to Art Applications,Spring,"Art, Fundamentals, of, Art, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A172 - Introduction to Art Applications"
Art,A190,Introduction to Art Practice,This course covers introduction to art practice with emphasis on practical and theoretical aspects.,A181 - Fundamentals of Art Analysis,"Fall, Summer, Spring","Art, Introduction, to, Art, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: A181 - Fundamentals of Art Analysis"
Biology,B100,Fundamentals of Biology Management,This course covers fundamentals of biology management with emphasis on practical and theoretical aspects.,None,"Fall, Summer","Biology, Fundamentals, of, Biology, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Biology,B109,Principles of Biology Applications,This course covers principles of biology applications with emphasis on practical and theoretical aspects.,B100 - Fundamentals of Biology Management,"Fall, Spring, Summer","Biology, Principles, of, Biology, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B100 - Fundamentals of Biology Management"
Biology,B118,Fundamentals of Biology Theory,This course covers fundamentals of biology theory with emphasis on practical and theoretical aspects.,B109 - Principles of Biology Applications,"Summer, Fall","Biology, Fundamentals, of, Biology, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B109 - Principles of Biology Applications"
Biology,B127,Fundamentals of Biology Design,This course covers fundamentals of biology design with emphasis on practical and theoretical aspects.,B118 - Fundamentals of Biology Theory,"Fall, Summer","Biology, Fundamentals, of, Biology, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B118 - Fundamentals of Biology Theory"
Biology,B136,Principles of Biology Development,This course covers principles of biology development with emphasis on practical and theoretical aspects.,B127 - Fundamentals of Biology Design,"Summer, Fall","Biology, Principles, of, Biology, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B127 - Fundamentals of Biology Design"
Biology,B145,Principles of Biology Development,This course covers principles of biology development with emphasis on practical and theoretical aspects.,B136 - Principles of Biology Development,"Spring, Summer","Biology, Principles, of, Biology, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B136 - Principles of Biology Development"
Biology,B154,Principles of Biology Analysis,This course covers principles of biology analysis with emphasis on practical and theoretical aspects.,B145 - Principles of Biology Development,"Fall, Spring","Biology, Principles, of, Biology, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B145 - Principles of Biology Development"
Biology,B163,Fundamentals of Biology Theory,This course covers fundamentals of biology theory with emphasis on practical and theoretical aspects.,B154 - Principles of Biology Analysis,"Fall, Spring","Biology, Fundamentals, of, Biology, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: B154 - Principles of Biology Analysis"
Business Administration,BA100,Introduction to Business Administration Management,This course covers introduction to business administration management with emphasis on practical and theoretical aspects.,None,Summer,"Business Administration, Introduction, to, Business, Administration, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Business Administration,BA109,Introduction to Business Administration Systems,This course covers introduction to business administration systems with emphasis on practical and theoretical aspects.,BA100 - Introduction to Business Administration Management,Spring,"Business Administration, Introduction, to, Business, Administration, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA100 - Introduction to Business Administration Management"
Business Administration,BA118,Fundamentals of Business Administration Design,This course covers fundamentals of business administration design with emphasis on practical and theoretical aspects.,BA109 - Introduction to Business Administration Systems,Fall,"Business Administration, Fundamentals, of, Business, Administration, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA109 - Introduction to Business Administration Systems"
Business Administration,BA127,Introduction to Business Administration Applications,This course covers introduction to business administration applications with emphasis on practical and theoretical aspects.,BA118 - Fundamentals of Business Administration Design,"Summer, Fall","Business Administration, Introduction, to, Business, Administration, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA118 - Fundamentals of Business Administration Design"
Business Administration,BA136,Principles of Business Administration Analysis,This course covers principles of business administration analysis with emphasis on practical and theoretical aspects.,BA127 - Introduction to Business Administration Applications,"Summer, Fall, Spring","Business Administration, Principles, of, Business, Administration, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA127 - Introduction to Business Administration Applications"
Business Administration,BA145,Principles of Business Administration Analysis,This course covers principles of business administration analysis with emphasis on practical and theoretical aspects.,BA136 - Principles of Business Administration Analysis,"Spring, Fall, Summer","Business Administration, Principles, of, Business, Administration, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA136 - Principles of Business Administration Analysis"
Business Administration,BA154,Fundamentals of Business Administration Design,This course covers fundamentals of business administration design with emphasis on practical and theoretical aspects.,BA145 - Principles of Business Administration Analysis,"Summer, Fall, Spring","Business Administration, Fundamentals, of, Business, Administration, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA145 - Principles of Business Administration Analysis"
Business Administration,BA163,Principles of Business Administration Applications,This course covers principles of business administration applications with emphasis on practical and theoretical aspects.,BA154 - Fundamentals of Business Administration Design,"Spring, Fall","Business Administration, Principles, of, Business, Administration, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA154 - Fundamentals of Business Administration Design"
Business Administration,BA172,Principles of Business Administration Practice,This course covers principles of business administration practice with emphasis on practical and theoretical aspects.,BA163 - Principles of Business Administration Applications,Summer,"Business Administration, Principles, of, Business, Administration, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA163 - Principles of Business Administration Applications"
Business Administration,BA181,Principles of Business Administration Systems,This course covers principles of business administration systems with emphasis on practical and theoretical aspects.,BA172 - Principles of Business Administration Practice,"Spring, Fall","Business Administration, Principles, of, Business, Administration, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: BA172 - Principles of Business Administration Practice"
Chemistry,C100,Introduction to Chemistry Design,This course covers introduction to chemistry design with emphasis on practical and theoretical aspects.,None,Fall,"Chemistry, Introduction, to, Chemistry, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Chemistry,C109,Fundamentals of Chemistry Design,This course covers fundamentals of chemistry design with emphasis on practical and theoretical aspects.,C100 - Introduction to Chemistry Design,Summer,"Chemistry, Fundamentals, of, Chemistry, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C100 - Introduction to Chemistry Design"
Chemistry,C118,Introduction to Chemistry Management,This course covers introduction to chemistry management with emphasis on practical and theoretical aspects.,C109 - Fundamentals of Chemistry Design,Summer,"Chemistry, Introduction, to, Chemistry, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C109 - Fundamentals of Chemistry Design"
Chemistry,C127,Fundamentals of Chemistry Systems,This course covers fundamentals of chemistry systems with emphasis on practical and theoretical aspects.,C118 - Introduction to Chemistry Management,"Fall, Spring","Chemistry, Fundamentals, of, Chemistry, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C118 - Introduction to Chemistry Management"
Chemistry,C136,Fundamentals of Chemistry Practice,This course covers fundamentals of chemistry practice with emphasis on practical and theoretical aspects.,C127 - Fundamentals of Chemistry Systems,Summer,"Chemistry, Fundamentals, of, Chemistry, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C127 - Fundamentals of Chemistry Systems"
Chemistry,C145,Introduction to Chemistry Design,This course covers introduction to chemistry design with emphasis on practical and theoretical aspects.,C136 - Fundamentals of Chemistry Practice,"Spring, Fall","Chemistry, Introduction, to, Chemistry, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C136 - Fundamentals of Chemistry Practice"
Chemistry,C154,Principles of Chemistry Practice,This course covers principles of chemistry practice with emphasis on practical and theoretical aspects.,C145 - Introduction to Chemistry Design,"Fall, Summer","Chemistry, Principles, of, Chemistry, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C145 - Introduction to Chemistry Design"
Chemistry,C163,Fundamentals of Chemistry Systems,This course covers fundamentals of chemistry systems with emphasis on practical and theoretical aspects.,C154 - Principles of Chemistry Practice,"Fall, Summer","Chemistry, Fundamentals, of, Chemistry, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C154 - Principles of Chemistry Practice"
Chemistry,C172,Fundamentals of Chemistry Design,This course covers fundamentals of chemistry design with emphasis on practical and theoretical aspects.,C163 - Fundamentals of Chemistry Systems,"Summer, Spring, Fall","Chemistry, Fundamentals, of, Chemistry, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C163 - Fundamentals of Chemistry Systems"
Chemistry,C181,Fundamentals of Chemistry Theory,This course covers fundamentals of chemistry theory with emphasis on practical and theoretical aspects.,C172 - Fundamentals of Chemistry Design,Summer,"Chemistry, Fundamentals, of, Chemistry, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C172 - Fundamentals of Chemistry Design"
Chemistry,C190,Introduction to Chemistry Management,This course covers introduction to chemistry management with emphasis on practical and theoretical aspects.,C181 - Fundamentals of Chemistry Theory,"Summer, Spring, Fall","Chemistry, Introduction, to, Chemistry, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C181 - Fundamentals of Chemistry Theory"
Chemistry,C199,Fundamentals of Chemistry Management,This course covers fundamentals of chemistry management with emphasis on practical and theoretical aspects.,C190 - Introduction to Chemistry Management,"Spring, Summer","Chemistry, Fundamentals, of, Chemistry, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C190 - Introduction to Chemistry Management"
Chinese,C100,Fundamentals of Chinese Theory,This course covers fundamentals of chinese theory with emphasis on practical and theoretical aspects.,None,"Summer, Spring","Chinese, Fundamentals, of, Chinese, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Chinese,C109,Principles of Chinese Applications,This course covers principles of chinese applications with emphasis on practical and theoretical aspects.,C100 - Fundamentals of Chinese Theory,Summer,"Chinese, Principles, of, Chinese, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C100 - Fundamentals of Chinese Theory"
Chinese,C118,Fundamentals of Chinese Practice,This course covers fundamentals of chinese practice with emphasis on practical and theoretical aspects.,C109 - Principles of Chinese Applications,"Spring, Fall, Summer","Chinese, Fundamentals, of, Chinese, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C109 - Principles of Chinese Applications"
Chinese,C127,Introduction to Chinese Theory,This course covers introduction to chinese theory with emphasis on practical and theoretical aspects.,C118 - Fundamentals of Chinese Practice,"Summer, Spring, Fall","Chinese, Introduction, to, Chinese, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C118 - Fundamentals of Chinese Practice"
Chinese,C136,Fundamentals of Chinese Design,This course covers fundamentals of chinese design with emphasis on practical and theoretical aspects.,C127 - Introduction to Chinese Theory,"Spring, Summer","Chinese, Fundamentals, of, Chinese, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C127 - Introduction to Chinese Theory"
Chinese,C145,Fundamentals of Chinese Practice,This course covers fundamentals of chinese practice with emphasis on practical and theoretical aspects.,C136 - Fundamentals of Chinese Design,"Fall, Summer","Chinese, Fundamentals, of, Chinese, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C136 - Fundamentals of Chinese Design"
Chinese,C154,Introduction to Chinese Management,This course covers introduction to chinese management with emphasis on practical and theoretical aspects.,C145 - Fundamentals of Chinese Practice,"Spring, Summer","Chinese, Introduction, to, Chinese, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C145 - Fundamentals of Chinese Practice"
Chinese,C163,Introduction to Chinese Systems,This course covers introduction to chinese systems with emphasis on practical and theoretical aspects.,C154 - Introduction to Chinese Management,"Summer, Spring, Fall","Chinese, Introduction, to, Chinese, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: C154 - Introduction to Chinese Management"
Civil Engineering,CE100,Principles of Civil Engineering Development,This course covers principles of civil engineering development with emphasis on practical and theoretical aspects.,None,Fall,"Civil Engineering, Principles, of, Civil, Engineering, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Civil Engineering,CE109,Fundamentals of Civil Engineering Applications,This course covers fundamentals of civil engineering applications with emphasis on practical and theoretical aspects.,CE100 - Principles of Civil Engineering Development,Fall,"Civil Engineering, Fundamentals, of, Civil, Engineering, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CE100 - Principles of Civil Engineering Development"
Civil Engineering,CE118,Introduction to Civil Engineering Theory,This course covers introduction to civil engineering theory with emphasis on practical and theoretical aspects.,CE109 - Fundamentals of Civil Engineering Applications,"Spring, Fall, Summer","Civil Engineering, Introduction, to, Civil, Engineering, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CE109 - Fundamentals of Civil Engineering Applications"
Civil Engineering,CE127,Introduction to Civil Engineering Theory,This course covers introduction to civil engineering theory with emphasis on practical and theoretical aspects.,CE118 - Introduction to Civil Engineering Theory,Fall,"Civil Engineering, Introduction, to, Civil, Engineering, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CE118 - Introduction to Civil Engineering Theory"
Civil Engineering,CE136,Fundamentals of Civil Engineering Theory,This course covers fundamentals of civil engineering theory with emphasis on practical and theoretical aspects.,CE127 - Introduction to Civil Engineering Theory,"Spring, Fall","Civil Engineering, Fundamentals, of, Civil, Engineering, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: CE127 - Introduction to Civil Engineering Theory"
